nuts2_code,cover_crop_percent,id
AT11,22.6002150207341,1
AT12,25.1553638740789,2
AT13,20.4761904761905,3
AT21,27.3502304147465,4
AT22,16.9252847789039,5
AT31,30.2571799448321,6
AT32,31.9230769230769,7
AT33,38.3620689655172,8
AT34,30.7692307692308,9
BE10,0,10
BE21,48.7115384615385,11
BE22,42.729793977813,12
BE23,38.2918552036199,13
BE24,34.1883226459669,14
BE25,31.4240672622175,15
BE31,30.1132075471698,16
BE32,33.7027468044602,17
BE33,28.6347653264027,18
BE34,18.3047131896237,19
BE35,23.9973036737445,20
BG31,0.127355029831531,21
BG32,0,22
BG33,0.842610336605275,23
BG34,0,24
BG41,0,25
BG42,0.003045252451428,26
CY00,1.23301106907664,27
CZ01,6.2992125984252,28
CZ02,3.14075847935711,29
CZ03,5.02402469689048,30
CZ04,3.33373450475388,31
CZ05,4.60720614294152,32
CZ06,5.24501077485243,33
CZ07,5.15237708248679,34
CZ08,5.19014815513825,35
DE1,18.3675621523292,36
DE2,16.7230976142007,37
DE3,0,38
DE4,9.36013090188817,39
DE5,18.5430463576159,40
DE6,4.42105263157895,41
DE7,9.18021680216802,42
DE8,7.14983696602516,43
DE9,22.9000544584253,44
DEA,23.2547836290921,45
DEB,7.07349740498912,46
DEC,9.83250620347395,47
DED,9.75390156062425,48
DEE,6.62277467607711,49
DEF,6.53984135865451,50
DEG,3.56512777515764,51
DK01,14.2910868747649,52
DK02,13.3695115934879,53
DK03,29.6850483229107,54
DK04,28.940291704649,55
DK05,28.6440295136275,56
EE00,4.89040820430324,57
EL11,0.66487205267084,58
EL12,0.208216545207015,59
EL13,0.239592692422881,60
EL14,0.297411419129796,61
EL21,5.82347588717015,62
EL22,1.41509433962264,63
EL23,0.303065625364262,64
EL24,0.113780871427615,65
EL25,0.802434975096845,66
EL30,0.291970802919708,67
EL41,0.680693069306931,68
EL42,3.50287907869482,69
EL43,1.0977522216414,70
ES11,20.8559201141227,71
ES12,28.7321830457614,72
ES13,18.3274021352313,73
ES21,8.69565217391304,74
ES22,7.27828536099471,75
ES23,7.02894270525694,76
ES24,6.95154657607724,77
ES30,5.16063577950626,78
ES41,6.77802042141297,79
ES42,7.43699564770668,80
ES43,9.3192009783938,81
ES51,10.1736053974,82
ES52,11.3094644459958,83
ES53,15.981539122035,84
ES61,11.9603540688709,85
ES62,10.3017070265979,86
FI19,11.4773529708464,87
FI1B,6.40569395017794,88
FI1C,5.79008997904598,89
FI1D,11.9983835118206,90
FI20,1.61943319838057,91
FR10,25.8489129829382,92
FR21,26.4900095065989,93
FR22,30.9169668896895,94
FR23,22.5980883022303,95
FR24,13.2989530481509,96
FR25,22.9005273373757,97
FR26,9.12242879527043,98
FR30,35.1630639451683,99
FR41,10.6204534476954,100
FR42,12.4795543963574,101
FR43,9.53568089747585,102
FR51,23.2955828455299,103
FR52,33.9232784502706,104
FR53,14.4487159232538,105
FR61,23.5392370777218,106
FR62,5.71627220880742,107
FR63,4.68488939383813,108
FR71,15.3078775369797,109
FR72,6.47433252784818,110
FR81,1.97094200309634,111
FR82,2.76455925674145,112
FR83,5.28846153846154,113
HR03,0,114
HR04,0,115
HU10,3.30130377576652,116
HU21,2.36903570236904,117
HU22,1.76301218161683,118
HU23,2.9349853678572,119
HU31,3.70777258994782,120
HU32,2.42416566398581,121
HU33,2.28197740888096,122
IE01,5.18439337252806,123
IE02,4.3468667255075,124
ITC1,3.53095250088148,125
ITC2,0,126
ITC3,0,127
ITC4,3.72918175235337,128
ITD5,0.237016749183609,129
ITE3,1.25839573843897,130
ITF1,1.64247849135309,131
ITF2,0.106723585912487,132
ITF3,8.17970288168964,133
ITF4,0.996133429451471,134
ITF5,0.846483836371993,135
ITF6,0.139986824769433,136
ITG1,4.47116373694196,137
ITG2,0.784785622727392,138
ITH1,26.5625,139
ITH2,0,140
ITH3,1.35169817777398,141
ITH4,2.09747069710055,142
ITI1,2.33727367948526,143
ITI2,2.39018087855297,144
ITI4,5.19197977303463,145
LT00,2.78274797629849,146
LU00,17.9721745759482,147
LV00,5.61332841460861,148
MT00,0,149
NL11,20.9475951184494,150
NL12,43.0404354587869,151
NL13,47.6949673453707,152
NL21,74.9798224374496,153
NL22,57.4960665318049,154
NL23,14.6081849880712,155
NL31,49.7536945812808,156
NL32,15.9625668449198,157
NL33,9.54003407155026,158
NL34,7.43314700105756,159
NL41,53.8435754189944,160
NL42,56.012506012506,161
PL11,2.66405537371895,162
PL12,2.5096896791314,163
PL21,1.70239807351416,164
PL22,2.03014457090126,165
PL31,2.07878984733887,166
PL32,1.59037046276662,167
PL33,2.37099452610862,168
PL34,2.08492451695728,169
PL41,3.32697124287812,170
PL42,3.22769581460141,171
PL43,2.16978854048087,172
PL51,2.82964259271724,173
PL52,3.34149905449544,174
PL61,3.47339678749489,175
PL62,2.65618798126538,176
PL63,2.93243407672652,177
PT11,1.06037924151697,178
PT15,0.8984375,179
PT16,1.68853457343741,180
PT17,0.344180225281602,181
PT18,1.83603458536073,182
RO11,3.45615327929256,183
RO12,0.32057964970809,184
RO21,4.28106669295608,185
RO22,0.69843140354533,186
RO31,1.27687342374914,187
RO32,0,188
RO41,1.45101437681932,189
RO42,3.18162544169611,190
SE11,3.06871247498332,191
SE12,3.76424965733962,192
SE21,5.24461028192371,193
SE22,4.0581900623465,194
SE23,7.2609049038201,195
SE31,8.19499894935911,196
SE32,3.28068043742406,197
SE33,5.96363636363636,198
SI01,14.4193061840121,199
SI02,10.5040037682525,200
SK01,0.685274945679425,201
SK02,1.89177172525565,202
SK03,4.58089113981676,203
SK04,2.76121521862578,204
UKC,2.86429182853756,205
UKD,5.81275720164609,206
UKE,2.77849909114516,207
UKF,3.58926919518964,208
UKG,5.76749042812391,209
UKH,3.53460351564557,210
UKI,0,211
UKJ,6.24904273242457,212
UKK,7.17195787531709,213
UKL,15.8566011720097,214
UKM,4.19038413346221,215
UKN,3.26472675656494,216
